"Name","State","embed_size","hidden_size","dropout_rate","train_batch_size","dev_batch_size","seed","max_epoch","patience","lr","lr_decay","uniform_init","valid_niter","log_every","max_num_trial","dev_loss","train_loss","learning_rate","iteration","Runtime"
"xlarge_d_train","finished","512","512","0.2","32","128","0","40","1","0.001","0.5","0.1","2000","10","5","1.213808846479036","0.3721709825344944","0.0000625","16000","867"
"xlarge_c_train","finished","512","512","0.2","16","128","0","30","1","0.001","0.5","0.1","2000","10","5","1.227460857359732","0.3060681651908117","0.0000625","24000","1203"
"xlarge_b_train","finished","512","512","0.2","32","128","0","30","1","0.0005","0.5","0.1","2000","10","5","1.2363912115282951","0.2537487228811716","0.00003125","20000","1151"
"medium_d_train","finished","64","64","0.2","32","128","0","40","1","0.001","0.5","0.1","2000","10","5","1.5207975893150978","0.7354074502153222","0.0000625","36000","1949"
"medium_c_train","finished","64","64","0.2","16","128","0","30","1","0.001","0.5","0.1","2000","10","5","1.405028954979659","0.6584368245842853","0.0000625","52000","2607"
"medium_b_train","finished","64","64","0.2","32","128","0","30","1","0.0005","0.5","0.1","2000","10","5","1.5563154551792169","1.0260139783537734","0.0005","27210","1483"
"small_d_train","finished","16","16","0.2","32","128","0","40","1","0.001","0.5","0.1","2000","10","5","2.1357022267725605","1.9037772125632508","0.001","36280","1978"
"small_c_train","finished","16","16","0.2","16","128","0","30","1","0.001","0.5","0.1","2000","10","5","2.107178144649409","1.899788495675736","0.0005","54390","2789"
"small_b_train","finished","16","16","0.2","32","128","0","30","1","0.0005","0.5","0.1","2000","10","5","3.3336582341964487","3.349627954467867","0.0005","27210","1483"
"large_d_train","finished","128","128","0.2","32","128","0","40","1","0.001","0.5","0.1","2000","10","5","1.288374579222566","0.5262400628726728","0.0000625","26000","1370"
"large_c_train","finished","128","128","0.2","16","128","0","30","1","0.001","0.5","0.1","2000","10","5","1.273852998569838","0.4600783271827793","0.0000625","34000","1666"
"large_b_train","finished","128","128","0.2","32","128","0","30","1","0.0005","0.5","0.1","2000","10","5","1.3828230577281255","0.5728952869393531","0.000125","27210","1397"
"small_default_train","finished","16","16","0.2","32","128","0","30","1","0.001","0.5","0.1","2000","10","5","2.512702943604008","2.428090404024114","0.001","27210","1309"
"medium_default_train","finished","64","64","0.2","32","128","0","30","1","0.001","0.5","0.1","2000","10","5","1.4969016076630068","0.7916494902750029","0.0005","27210","1332"
"large_default_train","finished","128","128","0.2","32","128","0","30","1","0.001","0.5","0.1","2000","10","5","1.2959820103971194","0.5377165318453954","0.0000625","24000","1178"
"xlarge_default_train","finished","512","512","0.2","32","128","0","30","1","0.001","0.5","0.1","2000","10","5","1.2102047567433796","0.29059128362761977","0.0000625","18000","909"
"xxlarge_default_train","finished","1024","1024","0.2","32","128","0","30","1","0.001","0.5","0.1","2000","10","5","1.2667999917179271","0.2415557676354736","0.0000625","16000","887"
