Name,bleu_scores,dev_loss,train_loss,n_layer,n_head,n_embed,dropout,train_batch_size,max_epoch,learning_rate,lr,min_lr,dev_batch_size,block_size,decay_lr,grad_clip,log_every,patience,seed,valid_niter,vocab_size,warmup_percent_iters,weight_decay,iteration
xlarge_d_train,48.908457,1.5169599652290344,0.5318106502294541,12,12,252,0.1,32,40,0.000328232,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,20000
xlarge_c_train,47.63210855,1.588919535279274,0.6418078482151032,12,12,252,0.1,16,30,0.000166882,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,40000
xlarge_b_train,50.644786,1.4803502559661863,0.6979878723621369,12,12,252,0.1,32,30,0.00006,0.0001,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,27200
xlarge_default_train,49.62316282,1.5654512494802475,0.45921522974967954,12,12,252,0.1,32,30,0.000166882,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,20000
large_d_train,48.87633515,1.4824159443378448,0.6587950646877289,6,6,192,0.1,32,40,0.000226892,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,24000
large_c_train,49.19193799,1.558798447,0.9103455603122712,6,6,192,0.1,16,30,0.000117575,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,44000
large_b_train,49.21488916,1.4677995443344116,0.916508949,6,6,192,0.1,32,30,0.00006,0.0001,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,27200
large_default_train,50.12438468,1.491886928677559,0.5770434617996216,6,6,192,0.1,32,30,8.22054E-05,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,24000
medium_d_train,48.09152078,1.5621198266744614,1.1715290904045106,4,4,64,0.1,32,40,0.00006,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,36270
medium_c_train,42.01457747,1.7310020476579666,1.415144681930542,4,4,64,0.1,16,30,0.00006,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,54380
medium_b_train,38.89482627,1.806112974882126,1.6320297956466674,4,4,64,0.1,32,30,0.00006,0.0001,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,27200
medium_default_train,46.46439907,1.5666212886571884,1.2133853316307068,4,4,64,0.1,32,30,0.00006,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,27200
small_d_train,16.36241942,2.652456730604172,2.6149473428726195,2,2,16,0.1,32,40,0.00006,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,36270
small_c_train,15.38153719,2.8187580704689026,2.8768797874450684,2,2,16,0.1,16,30,0.00006,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,54380
small_b_train,9.282337993,3.0365248322486877,3.020861577987671,2,2,16,0.1,32,30,0.00006,0.0001,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,27200
small_default_train,15.64011193,2.6774128079414368,2.6685776233673097,2,2,16,0.1,32,30,0.00006,0.0006,0.00006,128,128,TRUE,1,10,5,0,2000,15003,0.1,0.1,27200
